ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;SiO2;CaO;Fe2O3;Al2O3;Na2O;MgO;K2O;P2O5;TiO2;MnO;CuO;ZnO;BaO;SO3;Cl;Cr2O3;ZrO2;PbO;B2O3;SrO;SiO2_norm;CaO_norm;Fe2O3_norm;Al2O3_norm;Na2O_norm;MgO_norm;;Share;REF
1;Inert;1;Bottom Ash ;Waste Bottom Ash ;;2.695454545;;;in Wijster;54.23;13.45;13.83;7.86;2.81;1.81;0.88;0.79;0.84;;0.38;0.63;;1.28;0.26;;;;;;0.5770;0.1431;0.1471;0.0836;0.0299;0.0193;;0.94891469;139
2;Inert;1;Bottom Ash ;Waste Bottom Ash ;;2.688181818;;;in Moderdijk;51.35;13.95;15.13;7.92;3.1;1.81;0.93;1.06;0.79;;0.36;0.55;;1.19;0.36;;;;;;0.5506;0.1496;0.1622;0.0849;0.0332;0.0194;;0.94680203;139
3;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;in Jiangqiao;21.3;23.4;5.77;5.96;2.02;2.28;1.34;3.26;0.61;0.13;0.1;0.29;0.15;3.29;;;;;;;0.3507;0.3853;0.0950;0.0981;0.0333;0.0375;;0.868812589;140
4;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;in Yuqiao;27.4;20;5.77;5.91;2.48;1.92;1.4;3.22;0.56;0.1;0.11;0.35;0.14;2.13;;;;;;;0.4316;0.3151;0.0909;0.0931;0.0391;0.0302;;0.887956358;140
5;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;in Beijing;19.9;16.2;4.52;7.97;1.61;2.16;1.67;1.94;0.65;0.07;0.04;0.23;0.2;1.84;;;;;;;0.3801;0.3094;0.0863;0.1522;0.0307;0.0413;;0.887457627;140
6;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;in Shenzhen;23.2;13.3;5.92;6.97;1.43;1.01;1.45;1.6;0.9;0.07;0.24;0.68;0.27;1.37;;;;;;;0.4476;0.2566;0.1142;0.1345;0.0276;0.0195;;0.887348057;140
7;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;in Chongqing;24.4;20.8;7.94;7.59;2.35;2.05;1.34;4.75;0.71;0.13;0.12;0.45;0.2;2.5;;;;;;;0.3746;0.3194;0.1219;0.1165;0.0361;0.0315;;0.864595779;140
8;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;in Chengdu;33.1;15.5;7.05;11.4;2.62;2.1;1.64;2.79;0.9;0.07;0.05;0.32;0.15;3.36;;;;;;;0.4612;0.2160;0.0982;0.1588;0.0365;0.0293;;0.885502776;140
9;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;in Jinjiang;39.3;9.38;5.78;8.34;1.67;1.34;1.61;1.05;0.57;0.08;0.05;0.2;0.15;0.95;;;;;;;0.5972;0.1425;0.0878;0.1267;0.0254;0.0204;;0.93387257;140
10;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;in Aichi-ken;27.9;40.7;6.6;7.99;4.62;2.53;1.59;3.53;1.43;;;;;0.48;1.52;;;;;;0.3088;0.4505;0.0731;0.0884;0.0511;0.0280;;0.913540297;141
11;Inert;1;Bottom Ash ;Waste Bottom Ash ;;2.41;;;in Taipei City;31.1;10.01;4.36;2.57;2.1;0.28;0.86;2.07;0.83;;;0.9;;0.6;;;;;;;0.6168;0.1985;0.0865;0.0510;0.0417;0.0056;;0.905531609;142
12;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;in Beijing;42.14;25.89;5.68;8.59;3.86;3.67;1.9;3.75;0.98;;;;;;0.76;0.12;;;;;0.4691;0.2882;0.0632;0.0956;0.0430;0.0409;;0.92284775;143
13;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;from Keppel Seghers Tuas Waste to Energy ;32.75;29.06;10.02;8.57;2.87;1.75;1.24;4.77;1.57;0.15;0.31;0.81;;3.01;;0.22;;;;;0.3852;0.3418;0.1179;0.1008;0.0338;0.0206;;0.875592173;144
14;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;from Jiangxia MSW Incineration Plant in Wuhan;64.09;10.46;2.61;8.36;5.24;1.17;1.38;1.04;;;;;;0.98;0.1;;;;;;0.6972;0.1138;0.0284;0.0909;0.0570;0.0127;;0.963323902;145
15;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;from the Dalian MSW Incineration Plant;58.1;15.7;10.2;7.4;11.3;1.7;1.8;1.6;0.33;0.14;;;;1.1;;;;;;;0.5565;0.1504;0.0977;0.0709;0.1082;0.0163;;0.954557923;146
16;Inert;1;Bottom Ash ;Waste Bottom Ash ;;1.049;;;from a municipal solid waste incineration facility in China;40;29.4;6.69;9.42;2.78;1.37;1.97;;;;;;;1.17;;;;;;;0.4461;0.3279;0.0746;0.1051;0.0310;0.0153;;0.966163793;147
17;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;from a local waste-to-energy incineration plant;29.7;26.35;9.09;7.77;2.6;1.58;1.12;4.33;1.42;0.13;0.28;0.73;;2.73;2.39;0.2;;;;;0.3853;0.3418;0.1179;0.1008;0.0337;0.0205;;0.852576864;148
18;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;N/A;41.3;16.4;13.5;9.57;2.08;2.23;1.01;;;;0.445;0.735;;;1.5;;;;;;0.4854;0.1928;0.1587;0.1125;0.0244;0.0262;;0.958431903;149
19;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;from a single municipal solid waste incinerator in Tarragona;49.38;14.68;8.38;6.58;7.78;2.32;1.41;;;;1.26;0.38;;0.57;;;;;;;0.5541;0.1647;0.0940;0.0738;0.0873;0.0260;;0.960966142;150
20;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;from a Portuguese incinerator located in the district of Lisbon;52;14;6.8;5.9;6;2;2;5.5;0.5;0.1;;;;;;;;;;;0.5998;0.1615;0.0784;0.0681;0.0692;0.0231;;0.914556962;151
21;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;N/A;58.7;5.3;6;6.2;7.7;2.1;1.8;;;;;;;1;;;;;;;0.6826;0.0616;0.0698;0.0721;0.0895;0.0244;;0.968468468;152
22;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;N/A;46.7;26.3;4.69;6.86;4.62;2.22;0.888;;0.77;;0.281;0.714;0.109;2.18;;0.074;;;;;0.5110;0.2878;0.0513;0.0751;0.0506;0.0243;;0.947970043;153
23;Inert;1;Bottom Ash ;Waste Bottom Ash ;;;;;from different municipal solid waste incinerators mainly located in the North of Italy;30.31;23.05;10.02;13.03;1.94;2.83;0.94;1.96;1.07;0.18;0.68;0.73;;;;;;;;;0.3734;0.2839;0.1234;0.1605;0.0239;0.0349;;0.935900392;154
