ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref A
1;Organic;1;Waste;Food residue;;;;;w/d basis;89.09;69.66;16.77;13.57;189.09;89.09;7.60;1.83;1.48;;dry ash free basis;32.81;4.77;2.35;0.13;59.93;;99.99;32.81;4.77;2.35;0.13;59.94;;;;;;;;18
2;Organic;1;Waste;Food residue;;;;;w/d basis;86.62;63.23;19.96;16.82;186.63;86.62;8.46;2.67;2.25;;dry ash free basis;41.42;3.5;5.57;0.27;49.24;;100;41.42;3.50;5.57;0.27;49.24;;;;;;;;18
3;Organic;1;Waste;Food residue;;;;;w/d basis;78.12;87.3;9.96;2.74;178.12;78.12;19.10;2.18;0.60;;dry ash free basis;52.4;6.91;7.75;0.52;32.42;;100;52.40;6.91;7.75;0.52;32.42;;;17.347;;17.83569813;17.347;3.7955236;18
4;Organic;1;Waste;Food residue;;;;;w/d basis;72;72.36;11.64;16;172;72.00;20.26;3.26;4.48;;;;;;;;;0;;;;;;;;;;;;;18
5;Organic;1;Waste;Food residue;;;;;w/d basis;71.64;62.83;9.63;27.54;171.64;71.64;17.82;2.73;7.81;;;;;;;;;0;;;;;;;;;;;;;18
6;Organic;1;Waste;Food residue;;;;;w/d basis;70;;;;70;;;;;;dry ash free basis;50.53;6.74;2.74;0.42;39.58;;100.01;50.52;6.74;2.74;0.42;39.58;;;13.917;;;13.917;4.1751;18
7;Organic;1;Waste;Food residue;;;;;w/d basis;69.37;59.13;9.45;31.42;169.37;69.37;18.11;2.89;9.62;;;;;;;;;0;;;;;;;;;;;;;18
8;Organic;1;Waste;Food residue;;;;;w/d basis;67.67;;;;67.67;;;;;;;;;;;;;0;;;;;;;;12.582;;;12.582;4.0677606;18
9;Organic;1;Waste;Food residue;;;;;w/d basis;63.06;50.3;12.56;37.14;163.06;63.06;18.58;4.64;13.72;;;;;;;;;0;;;;;;;;;;;;;18
10;Organic;1;Waste;Food residue;;;;;w/d basis;60;;;;60;;;;;;dry ash free basis;51.38;7.31;3.24;0.17;36.82;1.09;100.01;51.37;7.31;3.24;0.17;36.82;1.09;;;;;;;18
