ID;Type;Subtype;Object;abbr.;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref
1;Plastic;1;High-density polyethylene ;HDPE;;;0.485;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74
2;Plastic;1;High-density polyethylene ;HDPE;density at 15°C;0.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93
3;Plastic;1;High-density polyethylene ;HDPE;at 300K;;0.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132
4;Plastic;1;High-density polyethylene ;HDPE;303-333K;;0.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;131
5;Plastic;1;High-density polyethylene ;HDPE;at 23°C;;0.485;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98
6;Plastic;1;High-density polyethylene ;HDPE;Cp at 25°C;0.958;0.54;1.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;115
7;Plastic;1;High-density polyethylene ;HDPE;;0.961;;;;;;;;;;;;;dry ash free basis;86.09;12.99;0.00;0.28;0.00;0;99.36;86.64452496;13.0736715;0;0.281803543;0;0;;;;;;;82
8;Plastic;1;High-density polyethylene ;HDPE;;;;;N/A;0.03;99.4;0;0;99.43;0.03017198;99.96982802;0;0;N/A;82.37;14.54;0;0;0.21;;97.12;84.81260297;14.97116969;0;0;0.216227348;;;;44.84;44.8535332;44.8535332;44.84;91
9;Plastic;1;High-density polyethylene ;HDPE;;;;;N/A;0;99.925;0;0;99.925;0;100;0;0;N/A;84.57;13.95;0.45;0;0;;98.97;85.4501364;14.09518036;0.454683237;0;0;;;;;;;;84
10;Plastic;1;High-density polyethylene ;HDPE;;;;;dry basis;0;100;0;0;100;0;100;0;0;dry ash free basis;85.73;14.27;0;0;0;;100;85.73;14.27;0;0;0;;;;;;;;79
