ID;Citation;DOI;Web;Year;Country;Continent;Type of reference;Ref Paper;Ref Organic;Ref Plastic;Ref Inert ;Comments;;;Fragen 
1;G. Vivek Venkatesh, S. Md. Iqbal, A. Gopal & D. Ganesan, Estimation of Volume and Mass of Axi-Symmetric Fruits Using Image Processing Technique, International Journal of Food Properties (2015), 18, 3, 608-626; 10.1080/10942912.2013.831444;https://www.tandfonline.com/doi/pdf/10.1080/10942912.2013.831444#:~:text=The%20average%20densi%2D%20ties%20measured,volume%20and%20mass%20of%20fruits.;2015;India;Asia;Scientific Publication;;x;;;;;;
2;M. Patel, A. Nath & J. Mayani, A study on physical properties of pomegranate (Punica granatum L., Punicaceae) fruits, International Journal of Chemical Studies (2018), 6, 5, 1460-1463;10.13140/RG.2.2.32554.67527;https://www.researchgate.net/profile/Jilen-Mayani/publication/329207694_A_study_on_physical_properties_of_pomegranate_Punica_granatum_L_Punicaceae_fruits/links/5bfcc528a6fdcc76e722bc31/A-study-on-physical-properties-of-pomegranate-Punica-granatum-L-Punicaceae-fruits.pdf;2018;India;Asia ;Scientific Publication;;;;;;;;
3;A.Shitzer, B.R. Becker & B. A. Fricke, Thermal Properties of Foods, ASHRAE Handbook Refrigeration (2006), 9, 9.1-9.31;;https://www.researchgate.net/file.PostFileLoader.html?id=57dc0df6dc332d6c7a2b0e94&assetKey=AS%3A406964417908742%401474039286881;2006;Israel/USA;Asia/America ;Scientific Publication;;x;;;;;;
4;U. R. Charrondiere, D. Haytowitz & B. Stadlmayr, FAO/INFOODS Density Database version 2.0, FAO/INFOODS Databases (2012);;https://www.fao.org/3/ap815e/ap815e.pdf;2012;Italy ;Europe;Data Sheet/Report;;x;;;;;;
5;S. A. Lavrykov & B. Ramarao, Thermal Properties of Copy Paper Sheets, Drying Technology (2012), 30, 297–311 ;10.1080/07373937.2011.638148;https://www.researchgate.net/publication/254334214_Thermal_Properties_of_Copy_Paper_Sheets;2012;USA;America;Scientific Publication;x;;;;;;;
6;"I. Kartovaara, R. Rajala, M. Luukkala & K. Sipi, Conduction of heat in paper,
Papermaking Raw Materials (1985), 381–412";10.15376/frc.1985.1.381;https://bioresources.cnr.ncsu.edu/wp-content/uploads/2021/12/1985.1.381.pdf;1985;Finland;Europe;Scientific Publication;x;;;;;;;
7;J. Malat'ak, J. Velebil &  J. Bradna, Specialty types of waste paper as an energetic commodity, Agronomy Research (2018), 16, 2, 534-542; 10.15159/AR.18.045;https://www.researchgate.net/publication/329246600_Specialty_types_of_waste_paper_as_an_energetic_commodity;2018;Czech Republic;Europe;Scientific Publication;x;;;;;;;
8;L. Sørum, Characterisation of MSW for Combustion Systems, Sintef Energy Research (2001);;https://task36.ieabioenergy.com/wp-content/uploads/sites/4/2016/06/Characterisation_of_MSW_for_Combustion_Studies-2001.pdf;2001;Norway;Europe;Data Sheet/Report;x;x;;;;;;
9;F. P. Incropera, D.DeWitt, T. Bergman & A. Lavine, Fundamentals of Heat and Mass Transfer, 6th Edition, John Wiley & Sons, 2007.;;https://madar-ju.com/storage/images/files/file_1738891444fwZdR.pdf;2007;USA;America;Scientific Publication;x;;;;;;;
10;J.Zeng, Y. Jin, Y. Chi, J. Wen, X. Jiang & M. Ni, Pyrolysis characteristics of organic components of municipal solid waste at high heating rates, Waste Management (2009), 29, 3, 1089-1094;10.1016/j.wasman.2008.06.034;https://www.sciencedirect.com/science/article/pii/S0956053X08002444;2009;China;Asia;Scientific Publication;x;x;x;;;;;
