ID;Type;Subtype;Group;Object;Comments;Density g/cm^3;Thermal conductivity W/mK;Specific Heat Capacity kJ/kg*K;Comments;Moisture content %wt;Volatile content %wt;Char content %wt;Ash content %wt;SUM;M_norm;V_norm;C_norm;A_norm;;Comments;C %wt;H %wt;N %wt;S %wt;O %wt;Cl %wt;SUM;E_C_norm;E_H_norm;E_N_norm;E_S_norm;E_O_norm;E_Cl_norm;HHV [MJ/kg] DAF;HHV_D [MJ/kg];HHV_eff_norm  [MJ/kg];E_HHV [MJ/kg] DAF;E_HHV_D [MJ/kg];E_HHV_eff_norm  [MJ/kg];Ref;Kommentar
1;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;0.93;0.18;1.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;
2;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;N/A;10;;;10;20.0;;;;;;dry basis;43.11;5.89;0.2;0.24;40.26;0.3;90.0;47.9;6.5;0.2;0.3;44.7;0.33;17.6;;;17.6;15.64444444;14.08;8;
3;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;air dry basis;6.49;73.12;11.53;8.86;100.0;6.5;73.1;11.5;8.9;;air dry basis;39.5;5.29;0.11;0.08;39.67;;84.7;46.7;6.2;0.1;0.1;46.9;;;;;;;;10;
4;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;w/d basis;7.8;54.02;5.75;40.23;107.8;7.8;49.8;5.3;37.1;;dry ash free basis;47.33;5.7;2.7;0;44.27;;100.0;47.33;5.7;2.7;0;44.27;;;;;;;;11;
5;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;w/d basis;4;76;12.8;11.2;104.0;4.0;73.0;12.3;10.8;;dry basis;36;5;0.1;0;47.7;;88.8;40.5;5.6;0.1;0.0;53.7;;;;;;;;12;
6;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;w/d basis;13.15;76.14;11.6;12.2;113.1;13.2;66.1;10.1;10.6;;dry ash free basis;45.62;6.01;0.34;0.22;47.78;0.28;100.3;45.5;6.0;0.3;0.2;47.7;0.28;15.89;;;15.89;13.95025615;12.10852799;13;
7;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;dry basis;;73.48;13.57;12.59;99.6;0.3;73.5;13.6;12.6;;dry basis;41.05;6.16;0.04;0.35;39.81;;87.4;47.0;7.0;0.0;0.4;45.5;;16.38;;;16.38;14.31030711;14.25879;14;
8;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;dry basis;;79.33;9.98;10.69;100.0;0.0;79.3;10.0;10.7;;dry ash free basis;45.12;5.31;0.38;0.28;48.91;;100.0;45.12;5.31;0.38;0.28;48.91;;;;;;;;15;
9;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;N/A;5.6;;;;5.6;;;;;;dry basis;44.1;4.4;0.7;;39.3;;88.5;49.8;5.0;0.8;0.0;44.4;;;;;;;;16;
10;Paper ;1;Paper waste;Paper waste;Mixed paper waste in MSW;;;;air dry basis;6.96;78.11;8.21;6.72;100.0;7.0;78.1;8.2;6.7;;air dry basis;42.27;5.3;0.18;0.14;38.43;;86.3;49.0;6.1;0.2;0.2;44.5;;;;;;;;17;
